data,partida,casa,resultado,odd,prob_modelo,prob_mercado,edge,roi_esperado,⭐ valor
2026-03-15,Coritiba vs Remo,leovegas_se,Casa,1.7,64.3%,54.4%,+9.9%,9.3%,✅ BOM
2026-03-15,Bragantino-SP vs Sao Paulo,winamax_de,Casa,2.3,47.4%,37.8%,+9.6%,9.0%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,betclic_fr,Empate,3.0,38.3%,28.7%,+9.6%,14.9%,✅ BOM
2026-03-15,Internacional vs Bahia,sport888,Casa,2.15,52.1%,42.6%,+9.5%,12.0%,✅ BOM
2026-03-15,Internacional vs Bahia,williamhill,Casa,2.15,52.1%,42.6%,+9.5%,12.0%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,parionssport_fr,Empate,3.0,38.3%,28.8%,+9.5%,14.9%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,unibet_nl,Empate,3.25,38.3%,28.9%,+9.4%,24.5%,✅ BOM
2026-03-11,Bahia vs Vitoria,unibet_se,Fora,5.5,26.5%,17.1%,+9.4%,45.7%,✅ BOM
2026-03-11,Bahia vs Vitoria,leovegas_se,Fora,5.4,26.5%,17.1%,+9.4%,43.1%,✅ BOM
2026-03-11,Bahia vs Vitoria,unibet_nl,Fora,5.5,26.5%,17.1%,+9.4%,45.7%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,unibet_se,Empate,3.25,38.3%,28.9%,+9.4%,24.5%,✅ BOM
2026-03-15,Bragantino-SP vs Sao Paulo,winamax_fr,Casa,2.2,47.4%,38.0%,+9.4%,4.2%,✅ BOM
2026-03-15,Internacional vs Bahia,betsson,Casa,2.18,52.1%,42.7%,+9.4%,13.6%,✅ BOM
2026-03-15,Internacional vs Bahia,nordicbet,Casa,2.18,52.1%,42.7%,+9.4%,13.6%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,leovegas_se,Empate,3.2,38.3%,28.9%,+9.4%,22.6%,✅ BOM
2026-03-15,Bragantino-SP vs Sao Paulo,betclic_fr,Casa,2.3,47.4%,38.1%,+9.3%,9.0%,✅ BOM
2026-03-12,Remo vs Fluminense,matchbook,Empate,3.65,35.0%,25.8%,+9.3%,27.9%,✅ BOM
2026-03-12,Remo vs Fluminense,pinnacle,Empate,3.71,35.0%,25.7%,+9.3%,30.0%,✅ BOM
2026-03-12,Remo vs Fluminense,betonlineag,Empate,3.69,35.0%,25.8%,+9.2%,29.3%,✅ BOM
2026-03-15,Bragantino-SP vs Sao Paulo,parionssport_fr,Casa,2.25,47.4%,38.3%,+9.0%,6.6%,✅ BOM
2026-03-12,Remo vs Fluminense,tipico_de,Empate,3.5,35.0%,26.4%,+8.7%,22.7%,✅ BOM
2026-03-15,Internacional vs Bahia,marathonbet,Casa,2.15,52.1%,43.4%,+8.7%,12.0%,✅ BOM
2026-03-15,Internacional vs Bahia,onexbet,Casa,2.21,52.1%,43.4%,+8.7%,15.2%,✅ BOM
2026-03-15,Internacional vs Bahia,winamax_fr,Casa,1.94,52.1%,43.4%,+8.7%,1.1%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,marathonbet,Empate,3.15,38.3%,29.6%,+8.7%,20.7%,✅ BOM
2026-03-15,Internacional vs Bahia,winamax_de,Casa,2.0,52.1%,43.5%,+8.7%,4.2%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,onexbet,Empate,3.24,38.3%,29.6%,+8.7%,24.1%,✅ BOM
2026-03-15,Internacional vs Bahia,parionssport_fr,Casa,1.97,52.1%,43.6%,+8.5%,2.7%,✅ BOM
2026-03-12,Remo vs Fluminense,marathonbet,Empate,3.5,35.0%,26.7%,+8.4%,22.7%,✅ BOM
2026-03-12,Remo vs Fluminense,onexbet,Empate,3.6,35.0%,26.6%,+8.4%,26.2%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,williamhill,Casa,2.9,39.8%,31.5%,+8.3%,15.4%,✅ BOM
2026-03-15,Internacional vs Bahia,betclic_fr,Casa,2.0,52.1%,43.9%,+8.3%,4.2%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,sport888,Casa,2.9,39.8%,31.5%,+8.3%,15.4%,✅ BOM
2026-03-15,Internacional vs Bahia,unibet_fr,Casa,1.93,52.1%,43.9%,+8.3%,0.6%,✅ BOM
2026-03-12,Remo vs Fluminense,nordicbet,Empate,3.45,35.0%,26.9%,+8.2%,20.9%,✅ BOM
2026-03-15,Bragantino-SP vs Sao Paulo,unibet_nl,Casa,2.4,47.4%,39.2%,+8.2%,13.7%,✅ BOM
2026-03-12,Remo vs Fluminense,winamax_de,Empate,3.25,35.0%,26.9%,+8.2%,13.9%,✅ BOM
2026-03-15,Bragantino-SP vs Sao Paulo,unibet_se,Casa,2.4,47.4%,39.2%,+8.2%,13.7%,✅ BOM
2026-03-12,Remo vs Fluminense,betsson,Empate,3.45,35.0%,26.9%,+8.2%,20.9%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,williamhill,Casa,1.65,63.6%,55.5%,+8.1%,4.9%,✅ BOM
2026-03-15,Bragantino-SP vs Sao Paulo,leovegas_se,Casa,2.35,47.4%,39.3%,+8.1%,11.3%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,sport888,Casa,1.65,63.6%,55.5%,+8.1%,4.9%,✅ BOM
2026-03-12,Remo vs Fluminense,winamax_fr,Empate,3.1,35.0%,27.0%,+8.0%,8.6%,✅ BOM
2026-03-12,Remo vs Fluminense,parionssport_fr,Empate,3.2,35.0%,27.2%,+7.9%,12.1%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,sport888,Empate,3.0,38.3%,30.4%,+7.9%,14.9%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,unibet_se,Casa,2.95,39.8%,31.9%,+7.9%,17.4%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,williamhill,Empate,3.0,38.3%,30.4%,+7.9%,14.9%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,winamax_fr,Casa,1.5,63.6%,55.7%,+7.9%,-4.6%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,unibet_nl,Casa,2.95,39.8%,31.9%,+7.9%,17.4%,✅ BOM
2026-03-12,Remo vs Fluminense,pmu_fr,Empate,3.05,35.0%,27.3%,+7.8%,6.9%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,parionssport_fr,Casa,2.7,39.8%,32.0%,+7.8%,7.5%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,nordicbet,Casa,1.68,63.6%,55.8%,+7.8%,6.8%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,betsson,Casa,1.68,63.6%,55.8%,+7.8%,6.8%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,betclic_fr,Casa,2.68,39.8%,32.1%,+7.7%,6.7%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,leovegas_se,Casa,2.88,39.8%,32.1%,+7.7%,14.6%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,leovegas_se,Casa,3.2,36.5%,29.0%,+7.6%,16.9%,✅ BOM
2026-03-12,Remo vs Fluminense,betclic_fr,Empate,3.2,35.0%,27.4%,+7.6%,12.1%,✅ BOM
2026-03-15,Internacional vs Bahia,leovegas_se,Casa,2.07,52.1%,44.5%,+7.6%,7.9%,✅ BOM
2026-03-12,Remo vs Fluminense,gtbets,Empate,3.44,35.0%,27.5%,+7.6%,20.6%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,onexbet,Casa,2.98,39.8%,32.2%,+7.6%,18.6%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,marathonbet,Casa,2.9,39.8%,32.2%,+7.6%,15.4%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,unibet_nl,Casa,3.25,36.5%,28.9%,+7.6%,18.8%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,unibet_se,Casa,3.25,36.5%,28.9%,+7.6%,18.8%,✅ BOM
2026-03-12,Remo vs Fluminense,codere_it,Empate,3.4,35.0%,27.5%,+7.5%,19.2%,✅ BOM
2026-03-12,Remo vs Fluminense,unibet_fr,Empate,3.08,35.0%,27.5%,+7.5%,7.9%,✅ BOM
2026-03-15,Internacional vs Bahia,unibet_nl,Casa,2.1,52.1%,44.7%,+7.4%,9.4%,✅ BOM
2026-03-15,Internacional vs Bahia,unibet_se,Casa,2.1,52.1%,44.7%,+7.4%,9.4%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,parionssport_fr,Casa,1.53,63.6%,56.3%,+7.3%,-2.7%,✅ BOM
2026-03-12,Remo vs Fluminense,williamhill,Empate,3.3,35.0%,27.8%,+7.3%,15.7%,✅ BOM
2026-03-12,Remo vs Fluminense,sport888,Empate,3.3,35.0%,27.8%,+7.3%,15.7%,✅ BOM
2026-03-12,Corinthians vs Coritiba,pmu_fr,Fora,5.6,21.9%,14.8%,+7.1%,22.9%,✅ BOM
2026-03-11,Bahia vs Vitoria,onexbet,Fora,4.94,26.5%,19.4%,+7.1%,30.9%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,pinnacle,Fora,6.79,21.1%,14.0%,+7.1%,43.0%,✅ BOM
2026-03-11,Bahia vs Vitoria,marathonbet,Fora,4.8,26.5%,19.4%,+7.1%,27.2%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,betonlineag,Fora,6.8,21.1%,14.0%,+7.0%,43.3%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,winamax_de,Casa,1.54,63.6%,56.5%,+7.0%,-2.1%,✅ BOM
2026-03-11,Bahia vs Vitoria,pinnacle,Fora,4.87,26.5%,19.5%,+7.0%,29.1%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,winamax_fr,Casa,2.55,39.8%,32.8%,+7.0%,1.5%,✅ BOM
2026-03-11,Bahia vs Vitoria,gtbets,Fora,4.83,26.5%,19.5%,+7.0%,28.0%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,matchbook,Fora,6.6,21.1%,14.1%,+6.9%,39.0%,✅ BOM
2026-03-11,Bahia vs Vitoria,betonlineag,Fora,4.86,26.5%,19.6%,+6.9%,28.8%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,betclic_fr,Casa,1.55,63.6%,56.7%,+6.9%,-1.5%,✅ BOM
2026-03-11,Bahia vs Vitoria,tipico_de,Fora,4.7,26.5%,19.6%,+6.9%,24.5%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,marathonbet,Fora,6.55,21.1%,14.2%,+6.8%,38.0%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,onexbet,Fora,6.74,21.1%,14.2%,+6.8%,42.0%,✅ BOM
2026-03-16,Chapecoense vs Grêmio,winamax_de,Casa,2.65,39.8%,33.0%,+6.8%,5.5%,✅ BOM
2026-03-12,Corinthians vs Coritiba,onexbet,Fora,6.28,21.9%,15.3%,+6.7%,37.8%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,tipico_de,Casa,3.1,36.5%,29.9%,+6.7%,13.3%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,pmu_fr,Fora,5.8,21.1%,14.4%,+6.7%,22.2%,✅ BOM
2026-03-12,Corinthians vs Coritiba,marathonbet,Fora,6.1,21.9%,15.3%,+6.7%,33.8%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,unibet_se,Casa,1.65,63.6%,56.9%,+6.7%,4.9%,✅ BOM
2026-03-12,Corinthians vs Coritiba,leovegas_se,Fora,6.1,21.9%,15.2%,+6.7%,33.8%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,unibet_nl,Casa,1.65,63.6%,56.9%,+6.7%,4.9%,✅ BOM
2026-03-12,Remo vs Fluminense,leovegas_se,Empate,3.25,35.0%,28.5%,+6.6%,13.9%,✅ BOM
2026-03-12,Remo vs Fluminense,unibet_nl,Empate,3.3,35.0%,28.4%,+6.6%,15.7%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,leovegas_se,Fora,6.4,21.1%,14.5%,+6.6%,34.8%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,unibet_se,Fora,6.5,21.1%,14.4%,+6.6%,36.9%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,unibet_nl,Fora,6.5,21.1%,14.4%,+6.6%,36.9%,✅ BOM
2026-03-11,Bahia vs Vitoria,matchbook,Fora,4.7,26.5%,19.9%,+6.6%,24.5%,✅ BOM
2026-03-12,Remo vs Fluminense,unibet_se,Empate,3.3,35.0%,28.4%,+6.6%,15.7%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,gtbets,Fora,6.45,21.1%,14.6%,+6.5%,35.9%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,nordicbet,Fora,6.4,21.1%,14.5%,+6.5%,34.8%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,betsson,Fora,6.4,21.1%,14.5%,+6.5%,34.8%,✅ BOM
2026-03-15,Palmeiras vs Mirassol,leovegas_se,Fora,7.0,19.7%,13.2%,+6.5%,38.2%,✅ BOM
2026-03-15,Fluminense vs Atletico Paranaense,betclic_fr,Fora,4.75,25.0%,18.5%,+6.5%,18.6%,✅ BOM
2026-03-11,Bahia vs Vitoria,betclic_fr,Fora,4.4,26.5%,20.0%,+6.5%,16.6%,✅ BOM
2026-03-12,Corinthians vs Coritiba,unibet_se,Fora,6.1,21.9%,15.4%,+6.5%,33.8%,✅ BOM
2026-03-12,Corinthians vs Coritiba,unibet_nl,Fora,6.1,21.9%,15.4%,+6.5%,33.8%,✅ BOM
2026-03-11,Atletico Mineiro vs Internacional,nordicbet,Casa,2.02,52.4%,46.0%,+6.4%,5.9%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,leovegas_se,Casa,1.62,63.6%,57.1%,+6.4%,3.0%,✅ BOM
2026-03-15,Palmeiras vs Mirassol,marathonbet,Fora,7.0,19.7%,13.3%,+6.4%,38.2%,✅ BOM
2026-03-15,Fluminense vs Atletico Paranaense,leovegas_se,Fora,5.0,25.0%,18.6%,+6.4%,24.9%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,marathonbet,Casa,1.63,63.6%,57.2%,+6.4%,3.6%,✅ BOM
2026-03-15,Palmeiras vs Mirassol,onexbet,Fora,7.2,19.7%,13.3%,+6.4%,42.1%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,parionssport_fr,Casa,2.9,36.5%,30.1%,+6.4%,6.0%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,pmu_fr,Casa,2.75,36.5%,30.2%,+6.4%,0.5%,✅ BOM
2026-03-11,Atletico Mineiro vs Internacional,betsson,Casa,2.02,52.4%,46.0%,+6.4%,5.9%,✅ BOM
2026-03-15,Cruzeiro vs Vasco da Gama,onexbet,Casa,1.68,63.6%,57.2%,+6.4%,6.8%,✅ BOM
2026-03-11,Bahia vs Vitoria,parionssport_fr,Fora,4.3,26.5%,20.1%,+6.4%,13.9%,✅ BOM
2026-03-11,Mirassol vs Santos,betfair_ex_eu,Empate,3.25,29.0%,22.6%,+6.4%,-5.6%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,unibet_fr,Casa,2.8,36.5%,30.3%,+6.3%,2.3%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,gtbets,Casa,3.12,36.5%,30.2%,+6.3%,14.0%,✅ BOM
2026-03-15,Fluminense vs Atletico Paranaense,parionssport_fr,Fora,4.6,25.0%,18.6%,+6.3%,14.9%,✅ BOM
2026-03-15,Palmeiras vs Mirassol,unibet_se,Fora,7.0,19.7%,13.4%,+6.3%,38.2%,✅ BOM
2026-03-15,Palmeiras vs Mirassol,unibet_nl,Fora,7.0,19.7%,13.4%,+6.3%,38.2%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,betclic_fr,Casa,2.9,36.5%,30.2%,+6.3%,6.0%,✅ BOM
2026-03-15,Fluminense vs Atletico Paranaense,unibet_fr,Fora,4.55,25.0%,18.6%,+6.3%,13.6%,✅ BOM
2026-03-12,Corinthians vs Coritiba,gtbets,Fora,6.04,21.9%,15.6%,+6.3%,32.5%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,tipico_de,Fora,6.2,21.1%,14.9%,+6.2%,30.6%,✅ BOM
2026-03-11,Mirassol vs Santos,sport888,Casa,2.0,51.7%,45.6%,+6.2%,3.5%,✅ BOM
2026-03-11,Mirassol vs Santos,williamhill,Casa,2.0,51.7%,45.6%,+6.2%,3.5%,✅ BOM
2026-03-11,Bahia vs Vitoria,unibet_fr,Fora,4.2,26.5%,20.3%,+6.2%,11.3%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,onexbet,Casa,3.15,36.5%,30.5%,+6.1%,15.1%,✅ BOM
2026-03-11,Atletico Mineiro vs Internacional,winamax_fr,Casa,1.84,52.4%,46.3%,+6.1%,-3.5%,✅ BOM
2026-03-12,Corinthians vs Coritiba,nordicbet,Fora,5.9,21.9%,15.9%,+6.1%,29.5%,✅ BOM
2026-03-12,Corinthians vs Coritiba,betsson,Fora,5.9,21.9%,15.9%,+6.1%,29.5%,✅ BOM
2026-03-12,Corinthians vs Coritiba,betonlineag,Fora,6.0,21.9%,15.8%,+6.1%,31.6%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,betonlineag,Casa,3.13,36.5%,30.4%,+6.1%,14.4%,✅ BOM
2026-03-12,Corinthians vs Coritiba,pinnacle,Fora,5.98,21.9%,15.9%,+6.1%,31.2%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,pinnacle,Casa,3.13,36.5%,30.5%,+6.1%,14.4%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,marathonbet,Casa,3.06,36.5%,30.5%,+6.1%,11.8%,✅ BOM
2026-03-15,Fluminense vs Atletico Paranaense,unibet_se,Fora,5.0,25.0%,18.8%,+6.1%,24.9%,✅ BOM
2026-03-15,Fluminense vs Atletico Paranaense,onexbet,Fora,5.09,25.0%,18.9%,+6.1%,27.1%,✅ BOM
2026-03-15,Fluminense vs Atletico Paranaense,unibet_nl,Fora,5.0,25.0%,18.8%,+6.1%,24.9%,✅ BOM
2026-03-15,Fluminense vs Atletico Paranaense,marathonbet,Fora,4.95,25.0%,18.9%,+6.1%,23.6%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,codere_it,Casa,3.05,36.5%,30.6%,+6.0%,11.5%,✅ BOM
2026-03-11,Bahia vs Vitoria,williamhill,Fora,4.5,26.5%,20.5%,+6.0%,19.2%,✅ BOM
2026-03-12,Corinthians vs Coritiba,betclic_fr,Fora,5.5,21.9%,16.0%,+6.0%,20.7%,✅ BOM
2026-03-11,Bahia vs Vitoria,sport888,Fora,4.5,26.5%,20.5%,+6.0%,19.2%,✅ BOM
2026-03-11,Atletico Mineiro vs Internacional,matchbook,Casa,2.02,52.4%,46.6%,+5.9%,5.9%,✅ BOM
2026-03-12,Corinthians vs Coritiba,parionssport_fr,Fora,5.4,21.9%,16.1%,+5.9%,18.5%,✅ BOM
2026-03-11,Atletico Mineiro vs Internacional,unibet_fr,Casa,1.84,52.4%,46.5%,+5.9%,-3.5%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,williamhill,Fora,6.0,21.1%,15.2%,+5.9%,26.4%,✅ BOM
2026-03-12,Flamengo vs Cruzeiro,sport888,Fora,6.0,21.1%,15.2%,+5.9%,26.4%,✅ BOM
2026-03-11,Bahia vs Vitoria,winamax_de,Fora,4.3,26.5%,20.6%,+5.9%,13.9%,✅ BOM
2026-03-11,Atletico Mineiro vs Internacional,winamax_de,Casa,1.9,52.4%,46.7%,+5.8%,-0.4%,✅ BOM
2026-03-12,Vasco da Gama vs Palmeiras,matchbook,Casa,3.05,36.5%,30.8%,+5.8%,11.5%,✅ BOM
2026-03-11,Atletico Mineiro vs Internacional,pinnacle,Casa,2.04,52.4%,46.7%,+5.8%,7.0%,✅ BOM
2026-03-12,Corinthians vs Coritiba,matchbook,Fora,5.8,21.9%,16.1%,+5.8%,27.3%,✅ BOM
2026-03-12,Corinthians vs Coritiba,tipico_de,Fora,5.7,21.9%,16.1%,+5.8%,25.1%,✅ BOM
2026-03-11,Atletico Mineiro vs Internacional,marathonbet,Casa,2.0,52.4%,46.7%,+5.8%,4.9%,✅ BOM
2026-03-11,Atletico Mineiro vs Internacional,onexbet,Casa,2.06,52.4%,46.6%,+5.8%,8.0%,✅ BOM
2026-03-11,Mirassol vs Santos,betsson,Casa,2.02,51.7%,46.1%,+5.7%,4.5%,✅ BOM
2026-03-15,Palmeiras vs Mirassol,williamhill,Fora,6.5,19.7%,14.0%,+5.7%,28.3%,✅ BOM
2026-03-15,Palmeiras vs Mirassol,betclic_fr,Fora,6.25,19.7%,14.1%,+5.7%,23.4%,✅ BOM
2026-03-11,Mirassol vs Santos,nordicbet,Casa,2.02,51.7%,46.1%,+5.7%,4.5%,✅ BOM
2026-03-15,Palmeiras vs Mirassol,sport888,Fora,6.5,19.7%,14.0%,+5.7%,28.3%,✅ BOM
2026-03-15,Fluminense vs Atletico Paranaense,williamhill,Fora,4.8,25.0%,19.3%,+5.7%,19.9%,✅ BOM
2026-03-15,Fluminense vs Atletico Paranaense,sport888,Fora,4.8,25.0%,19.3%,+5.7%,19.9%,✅ BOM
2026-03-11,Atletico Mineiro vs Internacional,leovegas_se,Casa,1.97,52.4%,46.8%,+5.6%,3.3%,✅ BOM
2026-03-11,Bahia vs Vitoria,pmu_fr,Fora,4.0,26.5%,20.9%,+5.6%,6.0%,✅ BOM
2026-03-11,Bahia vs Vitoria,betsson,Fora,4.45,26.5%,20.8%,+5.6%,17.9%,✅ BOM
